Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Patient,No energy at all,Indifferent,Self-aware,Quick to anger,Indifferent,Quick to anger,Rarely feel tired,No energy at all,Clear-minded,Rarely feel tired,Not motivated,Easily distracted,Invested,Good stamina,Good focus,No energy at all,Mostly engaged,Self-aware,Ready to go,At Risk
Loses focus,Always distracted,Foggy mind,Quick to anger,Easily distracted,Quick to anger,Rarely feel tired,Foggy mind,Loses focus,No energy at all,Easily distracted,Forgetful,Rarely feel tired,Low mood,Drained,Drained,Easily distracted,Rarely feel tired,Loses focus,Forgetful,At Risk
Patient,Drained,Self-aware,Refreshed,Sharp memory,Not motivated,Easily distracted,Forgetful,Clear-minded,Drained,Focused,Mostly engaged,Quick to anger,Indifferent,Forgetful,Emotionally stable,Not motivated,Loses focus,Sharp memory,Loses focus,At Risk
Good stamina,Forgetful,Easily distracted,Quick to anger,No energy at all,Indifferent,Low mood,Emotionally stable,Always distracted,Loses focus,Forgetful,Not motivated,Not motivated,Indifferent,Indifferent,Not motivated,Indifferent,Not motivated,Forgetful,Good stamina,At Risk
Easily distracted,Loses focus,Easily distracted,Drained,No energy at all,Low mood,Easily distracted,Always distracted,Quick to anger,Rarely feel tired,No energy at all,Drained,In good physical condition,Not motivated,Rarely feel tired,Forgetful,Not motivated,Quick to anger,Positive outlook,Not motivated,At Risk
Not motivated,Refreshed,Low mood,Refreshed,Loses focus,Easily distracted,Indifferent,Positive outlook,Loses focus,Rarely feel tired,Emotionally stable,Loses focus,Good focus,Rarely feel tired,No energy at all,Loses focus,Low mood,I recharge through entertainment,Indifferent,Low mood,At Risk
Clear-minded,Not motivated,Foggy mind,Good focus,Indifferent,Always distracted,Rarely feel tired,Mostly engaged,Always distracted,Drained,Self-aware,Always distracted,Not motivated,Drained,Foggy mind,Self-aware,Forgetful,Always distracted,Indifferent,Easily distracted,At Risk
Foggy mind,Rarely feel tired,Quick to anger,Focused,Drained,Enthusiastic,Not motivated,Ready to go,Ready to go,Clear-minded,Clear-minded,No energy at all,Self-aware,Forgetful,Loses focus,Low mood,Focused,Forgetful,Patient,Low mood,At Risk
Challenging but good,Indifferent,Not motivated,Ready to go,Always distracted,Low mood,Quick to anger,Invested,Focused,Good focus,Drained,Foggy mind,Rarely feel tired,Emotionally stable,Positive outlook,Drained,Ready to go,Self-aware,Low mood,Easily distracted,At Risk
Quick to anger,Focused,Low mood,Focused,Foggy mind,No energy at all,Not motivated,Low mood,Quick to anger,Drained,Emotionally stable,Low mood,Rarely feel tired,No energy at all,Ready to go,Good focus,Loses focus,Rarely feel tired,No energy at all,Challenging but good,At Risk
Good focus,Easily distracted,Rarely feel tired,No energy at all,Ready to go,Low mood,Easily distracted,Quick to anger,Forgetful,Drained,Indifferent,Low mood,Always distracted,Loses focus,Few mistakes,Enthusiastic,Always distracted,Forgetful,Loses focus,Not motivated,At Risk
Indifferent,Foggy mind,Low mood,Forgetful,Forgetful,Easily distracted,No energy at all,Easily distracted,Rarely feel tired,Indifferent,Always distracted,Not motivated,Drained,In good physical condition,Foggy mind,Easily distracted,Low mood,Always distracted,Always distracted,Drained,At Risk
Loses focus,Easily distracted,Low mood,Indifferent,Indifferent,Rarely feel tired,Not motivated,Rarely feel tired,Not motivated,Quick to anger,Rarely feel tired,Indifferent,Indifferent,Emotionally stable,Quick to anger,No energy at all,Not motivated,Drained,Positive outlook,Invested,At Risk
Patient,Good focus,Self-aware,Rarely feel tired,Drained,Loses focus,Not motivated,Low mood,Foggy mind,Always distracted,Drained,Indifferent,Invested,Clear-minded,Always distracted,Emotionally stable,Clear-minded,Foggy mind,Focused,Quick to anger,At Risk
Good stamina,Sharp memory,Always distracted,Always distracted,Loses focus,Foggy mind,Good focus,Refreshed,Rarely feel tired,Forgetful,Forgetful,Not motivated,Drained,Foggy mind,Foggy mind,Low mood,Loses focus,Indifferent,No energy at all,Indifferent,At Risk
Rarely feel tired,Indifferent,Not motivated,Rarely feel tired,Loses focus,Quick to anger,Indifferent,Good stamina,Loses focus,Self-aware,Low mood,Loses focus,Quick to anger,Indifferent,Rarely feel tired,No energy at all,Challenging but good,Enthusiastic,Low mood,Sharp memory,At Risk
Emotionally stable,Indifferent,No energy at all,Loses focus,I recharge through entertainment,Easily distracted,Low mood,Rarely feel tired,Loses focus,Low mood,Patient,Drained,Drained,Rarely feel tired,Good stamina,Quick to anger,Low mood,Forgetful,Mostly engaged,Challenging but good,At Risk
Self-aware,Drained,Rarely feel tired,No energy at all,Drained,Rarely feel tired,Not motivated,Self-aware,Drained,Low mood,Loses focus,Drained,Foggy mind,Indifferent,Not motivated,Challenging but good,Loses focus,Drained,Self-aware,Always distracted,At Risk
Loses focus,No energy at all,Foggy mind,No energy at all,No energy at all,Self-aware,Indifferent,Self-aware,Forgetful,Forgetful,No energy at all,Positive outlook,Rarely feel tired,Foggy mind,Enthusiastic,Positive outlook,Drained,I recharge through entertainment,Forgetful,I recharge through entertainment,At Risk
Patient,Good focus,Patient,Easily distracted,Quick to anger,No energy at all,Indifferent,Drained,Mostly engaged,Always distracted,Always distracted,Drained,I recharge through entertainment,Low mood,Forgetful,No energy at all,Drained,Rarely feel tired,Quick to anger,Low mood,At Risk
Rarely feel tired,Not motivated,Low mood,No energy at all,Emotionally stable,Drained,Indifferent,Drained,Low mood,Rarely feel tired,Foggy mind,Indifferent,Indifferent,Quick to anger,Forgetful,Quick to anger,Enthusiastic,Positive outlook,Low mood,Foggy mind,At Risk
Always distracted,Clear-minded,Loses focus,Positive outlook,Loses focus,Clear-minded,Foggy mind,Clear-minded,Loses focus,Drained,Easily distracted,Not motivated,Self-aware,Easily distracted,Quick to anger,Good stamina,Forgetful,Rarely feel tired,No energy at all,Low mood,At Risk
Forgetful,Not motivated,Easily distracted,Enthusiastic,Rarely feel tired,Ready to go,Refreshed,Always distracted,No energy at all,Drained,Always distracted,Easily distracted,Forgetful,Loses focus,Drained,Loses focus,Easily distracted,Clear-minded,Not motivated,No energy at all,At Risk
Patient,Low mood,Enthusiastic,Foggy mind,Always distracted,Drained,Sharp memory,Good focus,Clear-minded,Forgetful,No energy at all,Sharp memory,Patient,Ready to go,Refreshed,Drained,Loses focus,Easily distracted,Loses focus,Indifferent,At Risk
Few mistakes,Positive outlook,Focused,Always distracted,Drained,No energy at all,Emotionally stable,Patient,Clear-minded,Easily distracted,Not motivated,Easily distracted,Not motivated,Patient,Foggy mind,Rarely feel tired,Low mood,Mostly engaged,No energy at all,Loses focus,At Risk
Quick to anger,Loses focus,Easily distracted,Quick to anger,Drained,Forgetful,Loses focus,Always distracted,Forgetful,Foggy mind,No energy at all,Indifferent,Quick to anger,No energy at all,Indifferent,Quick to anger,Quick to anger,Foggy mind,No energy at all,Forgetful,At Risk
Easily distracted,Always distracted,Always distracted,Not motivated,Forgetful,Not motivated,Easily distracted,Indifferent,Quick to anger,Loses focus,Good focus,Not motivated,Low mood,Easily distracted,Indifferent,Refreshed,Low mood,Loses focus,Forgetful,Loses focus,At Risk
Forgetful,Indifferent,Not motivated,Always distracted,Not motivated,Quick to anger,Always distracted,Indifferent,Not motivated,Rarely feel tired,Quick to anger,Drained,Invested,No energy at all,Low mood,Indifferent,Mostly engaged,Self-aware,Drained,Quick to anger,At Risk
Foggy mind,Forgetful,Easily distracted,Quick to anger,Drained,Challenging but good,Foggy mind,Always distracted,Indifferent,Drained,Rarely feel tired,Easily distracted,Emotionally stable,Good stamina,No energy at all,No energy at all,No energy at all,Rarely feel tired,Sharp memory,Low mood,At Risk
In good physical condition,I recharge through entertainment,Rarely feel tired,No energy at all,Not motivated,Quick to anger,Self-aware,Drained,Drained,Loses focus,Not motivated,Ready to go,Rarely feel tired,Self-aware,I recharge through entertainment,Positive outlook,Rarely feel tired,Enthusiastic,Always distracted,Few mistakes,At Risk
Foggy mind,Easily distracted,Foggy mind,Low mood,No energy at all,Quick to anger,Low mood,No energy at all,Easily distracted,Low mood,Quick to anger,Drained,Foggy mind,Quick to anger,Loses focus,Drained,Forgetful,Low mood,Indifferent,Loses focus,At Risk
Foggy mind,Easily distracted,Drained,Foggy mind,Foggy mind,Forgetful,Drained,Indifferent,Foggy mind,Foggy mind,Loses focus,Low mood,Easily distracted,Indifferent,Low mood,Always distracted,Low mood,Rarely feel tired,Loses focus,Easily distracted,At Risk
No energy at all,Loses focus,Foggy mind,Self-aware,Indifferent,Rarely feel tired,No energy at all,Indifferent,Self-aware,Always distracted,Loses focus,No energy at all,Rarely feel tired,Not motivated,Low mood,Rarely feel tired,Rarely feel tired,Drained,Good stamina,Drained,At Risk
Rarely feel tired,Not motivated,Drained,Good focus,Ready to go,Foggy mind,Low mood,Not motivated,Drained,Clear-minded,Easily distracted,Emotionally stable,Drained,Challenging but good,Foggy mind,Always distracted,Quick to anger,Forgetful,Rarely feel tired,Positive outlook,At Risk
Not motivated,Indifferent,Rarely feel tired,Not motivated,Quick to anger,Foggy mind,Always distracted,Low mood,No energy at all,Drained,Low mood,Quick to anger,Low mood,Not motivated,Low mood,Not motivated,Indifferent,Drained,Foggy mind,Quick to anger,At Risk
Drained,Quick to anger,Not motivated,Quick to anger,Forgetful,Forgetful,Always distracted,Not motivated,Loses focus,Foggy mind,Not motivated,Forgetful,Not motivated,Quick to anger,Not motivated,Forgetful,Drained,Forgetful,Forgetful,Always distracted,At Risk
I recharge through entertainment,Not motivated,No energy at all,No energy at all,Low mood,Drained,Rarely feel tired,Rarely feel tired,Indifferent,Positive outlook,Ready to go,In good physical condition,Drained,Easily distracted,Easily distracted,Drained,Good stamina,Ready to go,Clear-minded,Always distracted,At Risk
Always distracted,Rarely feel tired,Not motivated,Forgetful,Drained,Always distracted,Low mood,Drained,Loses focus,Loses focus,Forgetful,Quick to anger,Quick to anger,Quick to anger,Not motivated,Low mood,Always distracted,Easily distracted,Indifferent,Not motivated,At Risk
Drained,Not motivated,Rarely feel tired,Always distracted,In good physical condition,Loses focus,No energy at all,Quick to anger,Loses focus,Quick to anger,Always distracted,Drained,Loses focus,Easily distracted,Loses focus,Low mood,Loses focus,Indifferent,Easily distracted,Quick to anger,At Risk
Foggy mind,Not motivated,Loses focus,I recharge through entertainment,Ready to go,Easily distracted,Good focus,Always distracted,Quick to anger,Rarely feel tired,Low mood,Loses focus,Low mood,Indifferent,No energy at all,No energy at all,Quick to anger,Not motivated,Quick to anger,Good focus,At Risk
Forgetful,Always distracted,Quick to anger,Rarely feel tired,Drained,Foggy mind,Always distracted,No energy at all,Foggy mind,Quick to anger,Rarely feel tired,Rarely feel tired,Indifferent,Indifferent,No energy at all,Indifferent,No energy at all,Indifferent,Quick to anger,Foggy mind,At Risk
Good stamina,Low mood,Indifferent,Good stamina,Always distracted,Loses focus,Low mood,Drained,Few mistakes,Foggy mind,Loses focus,Drained,Forgetful,No energy at all,Few mistakes,Good focus,Foggy mind,Invested,Forgetful,Rarely feel tired,At Risk
Foggy mind,Enthusiastic,Loses focus,Quick to anger,Always distracted,Quick to anger,Refreshed,Low mood,Quick to anger,In good physical condition,Quick to anger,Always distracted,In good physical condition,Not motivated,Always distracted,Refreshed,Easily distracted,Good stamina,Quick to anger,No energy at all,At Risk
Loses focus,Focused,Indifferent,Rarely feel tired,Loses focus,Loses focus,I recharge through entertainment,Easily distracted,Always distracted,Low mood,Foggy mind,Drained,Indifferent,No energy at all,Always distracted,No energy at all,Always distracted,Rarely feel tired,Loses focus,Foggy mind,At Risk
Quick to anger,Drained,Positive outlook,Indifferent,Forgetful,No energy at all,Easily distracted,Quick to anger,Easily distracted,Not motivated,Easily distracted,Quick to anger,Rarely feel tired,Loses focus,Rarely feel tired,Forgetful,Forgetful,Indifferent,No energy at all,Challenging but good,At Risk
Low mood,Rarely feel tired,Always distracted,Easily distracted,No energy at all,Not motivated,Quick to anger,Always distracted,Low mood,Indifferent,Focused,Not motivated,Forgetful,Always distracted,Mostly engaged,Easily distracted,Foggy mind,Not motivated,Not motivated,Drained,At Risk
Rarely feel tired,Low mood,Low mood,No energy at all,Rarely feel tired,Good focus,Not motivated,Low mood,Low mood,Challenging but good,Quick to anger,Forgetful,Low mood,Rarely feel tired,Low mood,Challenging but good,Not motivated,Low mood,Rarely feel tired,Self-aware,At Risk
No energy at all,Clear-minded,Enthusiastic,In good physical condition,Foggy mind,Foggy mind,Drained,Drained,Not motivated,Mostly engaged,Always distracted,Self-aware,Good stamina,Low mood,Always distracted,Loses focus,Enthusiastic,Rarely feel tired,Always distracted,Enthusiastic,At Risk
No energy at all,Easily distracted,Not motivated,Not motivated,Rarely feel tired,Not motivated,Drained,Forgetful,Always distracted,Rarely feel tired,Low mood,Good stamina,Focused,Ready to go,Positive outlook,Quick to anger,Forgetful,Focused,Not motivated,No energy at all,At Risk
No energy at all,Loses focus,Emotionally stable,In good physical condition,Easily distracted,Good stamina,Drained,Not motivated,Good focus,Emotionally stable,Quick to anger,Not motivated,Always distracted,Challenging but good,Enthusiastic,No energy at all,Indifferent,Easily distracted,Good stamina,Enthusiastic,At Risk
Low mood,Loses focus,Foggy mind,Loses focus,Low mood,Indifferent,Easily distracted,Refreshed,Quick to anger,Forgetful,Few mistakes,Indifferent,Rarely feel tired,No energy at all,No energy at all,Foggy mind,Self-aware,Refreshed,Forgetful,Low mood,At Risk
Easily distracted,Easily distracted,No energy at all,Forgetful,Quick to anger,Good focus,Not motivated,Easily distracted,Drained,Quick to anger,Drained,Rarely feel tired,Drained,Loses focus,No energy at all,Self-aware,Easily distracted,Drained,Quick to anger,Indifferent,At Risk
Always distracted,Easily distracted,Loses focus,Always distracted,Always distracted,Quick to anger,Forgetful,Easily distracted,Quick to anger,Easily distracted,Indifferent,Rarely feel tired,In good physical condition,Easily distracted,Rarely feel tired,Not motivated,Drained,Always distracted,No energy at all,Not motivated,At Risk
Forgetful,Good focus,Ready to go,Foggy mind,Not motivated,Challenging but good,Quick to anger,Few mistakes,Low mood,I recharge through entertainment,Low mood,Not motivated,Not motivated,Foggy mind,Rarely feel tired,Indifferent,Forgetful,Quick to anger,Not motivated,Indifferent,At Risk
Always distracted,Low mood,No energy at all,Rarely feel tired,Not motivated,Forgetful,Rarely feel tired,Quick to anger,Rarely feel tired,Quick to anger,Not motivated,Always distracted,Not motivated,Rarely feel tired,Not motivated,Forgetful,Loses focus,Always distracted,Low mood,Rarely feel tired,At Risk
